,Song title,Song author,Genre
0,Dynamite,BTS,K-Pop
1,Nobody's Love,Maroon 5,Pop
2,WAP,Cardi B & Megan Thee Stallion,
3,Savage (Remix),Megan Thee Stallion & Beyonce,
4,It's My Life,V6,
5,Come & Go,Juice WRLD & Marshmello,
6,Laxed (Siren Beat),Jawsh 685,Reggae
7,Worry About Me,Ellie Goulding & Blackbear,
8,Whenever You Call,Arashi,
9,Holy,Justin Bieber & Chance The Rapper,
10,OK Not To Be OK,Marshmello & Demi Lovato,Pop
11,Don't Stop,Megan Thee Stallion & Young Thug,
12,Over Now,Calvin Harris & Weeknd,
13,Ice Cream,Blackpink & Selena Gomez,
14,Blinding Lights,Weeknd,
15,Rockstar,DaBaby & Roddy Ricch,
16,Lemonade,"Internet Money, Gunna & Toliver",
17,Mood,24kGoldn & Iann Dior,
18,Kanzai Boya,Kinki Kids,
19,Good Guy,SF9,
35,Loyal Brave True,Christina Aguilera,Soundtrack
39,Naked Heart,Aimyon,J-Pop
55,Smile,Katy Perry,
57,Campanella,Kenshi Yonezu,J-Pop
59,Fanfare,Twice,
88,Be Kind,Marshmello & Halsey,Dance
93,Take You Dancing,Jason Derulo,Dance
97,Heartless,"Diplo, Thomas Wesley & Morgan Wallen",
118,Everyday,Mahina,
137,Swingin',Love Psychedelico,
150,Ur So F**kInG cOoL,Tones And I,Alternative
154,Stuck With U,Ariana Grande & Justin Bieber,Pop
176,Last Mermaid...,Hey! Say! Jump,
177,Stand Up,Bullet Train,
183,Cardigan,Taylor Swift,Alternative
214,Make You Happy,NiziU,J-Pop
216,Roses,SAINt JHN,Dance
219,How You Like That,BlackPink,
239,Sour Candy,Lady Gaga & Blackpink,
294,Roxanne,Arizona Zervas,Hip-Hop/Rap
299,Dance Monkey,Tones And I,Alternative
306,Yoru Ni Kakeru,Yoasobi,
308,Stay Gold,BTS,K-Pop
310,Say So,Doja Cat,R&B/Soul
316,Mazy Night,King & Prince,
319,The Bigger Picture,Lil Baby,Hip-Hop/Rap
332,Rain On Me,Lady Gaga & Ariana Grande,Pop
338,Trollz,6ix9ine & Nicki Minaj,Hip-Hop/Rap
353,Time,Hikaru Utada,
355,Wish On The Same Sky,Monsta X,
359,Snow Jam,Rinne,Hip-Hop/Rap
365,Toosie Slide,Drake,Hip-Hop/Rap
370,TOP,Stray Kids,Hip-Hop
392,Daylight,Morfonica,
393,Love So Sweet,Arashi,
411,3-2,HKT48,J-Pop
412,Stupid Love,Lady Gaga,Pop
416,Ai Wo Shiru,Last Idol,
421,I Love...,Official Hige Dandism,
433,Intentions,Justin Bieber & Quavo,
454,Memories,Maroon 5,Pop
456,Fallin' Flower,Seventeen,
470,Hana Ni Bourei,Yorushika,
478,What A Man Gotta Do,Jonas Brothers,Pop
496,Infinity,JO1,
508,I Believe,Jonas Brothers,
513,Try Again,Mag!C Prince,
514,Shitsuren.Arigatou,AKB48,Kayokyoku
515,Money In The Way,2 Chainz,Hip-Hop/Rap
516,No Time To Die,Billie Eilish,Alternative
517,Teenager Forever,King Gnu,Alternative
528,Haru Wa Yuku,Aimer,
537,I Am,Hey! Say! Jump,
538,The Other Side,SZA & Justin Timberlake,Soundtrack
558,Filter,BTS,K-Pop
577,Pretender,Official Hige Dandism,
593,Underdog,Alicia Keys,R&B/Soul
595,Anata Ga Iru Koto De,Uru,J-Pop
616,Unaccommodating,Eminem & Young M.A,
635,Doron,King Gnu,Alternative
638,Yummy,Justin Bieber,Pop
656,Mubou Na Yume Ha Sameru Koto Ga Nai,STU48,J-Pop
657,Highest In The Room,Travis Scott,Hip-Hop/Rap
658,10000 Hours,"Dan & Shay, Justin Bieber",
665,Morning Musume.'20,Kokoro & Karada,
677,Soyutoko Aru Yone?,SKE48,J-Pop
678,Sayonara No Kyouni,Aimyon,
689,Tomo Yo,Kanjani8,
697,Ritmo,Black Eyed Peas,
716,REstart,Mameshiba No Taigun,
717,Good As Hell,Lizzo,Pop
736,Don't Start Now,Dua Lipa,Pop
753,Edge Of Days,Kis-My-Ft2,
757,Gattan Gotton Go!,Boys And Men,
775,Time Camera,Fantastics From Exile Tribe,
794,Easy Love,Sigala,Pop
795,Heartless,Weeknd,
796,Senorita,Shawn Mendes & Camila Cabello,Pop
797,Into The Unknown,Panic! At The Disco,
817,Uma To Shika,Kenshi Yonezu,J-Pop
831,Aa Osaka Dreamin Night,Dotsuitare-Hompo,
836,Zurui Yo Zurui Ne,=LOVE,J-Pop
852,Yesterday,Official Hige Dandism,
855,Watashi Wo Tsukuru No Ha Watashi,Angerme,
877,Turning Up,Arashi,
895,RPM,SF9,K-Pop
896,Hatsukoi Shijou Shugi,NMB48,
916,All The Time,Zara Larsson,Pop
927,Revival Love,Bullet Train,
933,Kyu-Mai Flower,Pastel Palettes,
936,If I Can't Have You,Shawn Mendes,Pop
944,Yoake Made Tsuyogaranakutemo II,Nogizaka46,J-Pop
955,Category,One N Only,
