Country,Position,Date,Song title,Song author,Country artist,Genre

Japan,1,2020-10-17,Dynamite,BTS,KR,K-Pop

Japan,2,2020-10-17,Nobody's Love,Maroon 5,US,Pop

Japan,3,2020-10-17,WAP,Cardi B & Megan Thee Stallion,US,

Japan,4,2020-10-17,Savage (Remix),Megan Thee Stallion & Beyonce,US,

Japan,5,2020-10-17,It's My Life,V6,JP,

Japan,6,2020-10-17,Come & Go,Juice WRLD & Marshmello,US,

Japan,7,2020-10-17,Laxed (Siren Beat),Jawsh 685,NZ,Reggae

Japan,8,2020-10-17,Worry About Me,Ellie Goulding & Blackbear,GB,

Japan,8,2020-10-17,Whenever You Call,Arashi,US,

Japan,10,2020-10-17,Holy,Justin Bieber & Chance The Rapper,CA,

Japan,11,2020-10-17,OK Not To Be OK,Marshmello & Demi Lovato,US,Pop

Japan,12,2020-10-17,Don't Stop,Megan Thee Stallion & Young Thug,US,

Japan,13,2020-10-17,Over Now,Calvin Harris & Weeknd,Scotland,

Japan,14,2020-10-17,Ice Cream,Blackpink & Selena Gomez,US,

Japan,15,2020-10-17,Blinding Lights,Weeknd,CA,

Japan,16,2020-10-17,Rockstar,DaBaby & Roddy Ricch,US,

Japan,17,2020-10-17,Lemonade,"Internet Money, Gunna & Toliver",,

Japan,18,2020-10-17,Mood,24kGoldn & Iann Dior,US,

Japan,19,2020-10-17,Kanzai Boya,Kinki Kids,JP,

Japan,20,2020-10-17,Good Guy,SF9,KR,

Japan,1,2020-09-19,Dynamite,BTS,KR,K-Pop

Japan,2,2020-09-19,Loyal Brave True,Christina Aguilera,US,Soundtrack

Japan,3,2020-09-19,WAP,Cardi B & Megan Thee Stallion,US,

Japan,4,2020-09-19,Nobody's Love,Maroon 5,US,Pop

Japan,5,2020-09-19,Come & Go,Juice WRLD & Marshmello,US,

Japan,6,2020-09-19,Savage (Remix),Megan Thee Stallion & Beyonce,US,

Japan,7,2020-09-19,Ice Cream,Blackpink & Selena Gomez,US,

Japan,8,2020-09-19,Over Now,Calvin Harris & Weeknd,Scotland,

Japan,9,2020-09-19,Be Kind,Marshmello & Halsey,US,Dance

Japan,10,2020-09-19,Blinding Lights,Weeknd,CA,

Japan,11,2020-09-19,Laxed (Siren Beat),Jawsh 685,NZ,Reggae

Japan,12,2020-09-19,Kanzai Boya,Kinki Kids,JP,

Japan,13,2020-09-19,Naked Heart,Aimyon,JP,J-Pop

Japan,14,2020-09-19,Take You Dancing,Jason Derulo,US,Dance

Japan,15,2020-09-19,Good Guy,SF9,KR,

Japan,16,2020-09-19,Fanfare,Twice,KR,

Japan,17,2020-09-19,Smile,Katy Perry,US,Pop

Japan,18,2020-09-19,Heartless,"Diplo, Thomas Wesley & Morgan Wallen",US,

Japan,19,2020-09-19,Rockstar,DaBaby & Roddy Ricch,US,

Japan,20,2020-09-19,Campanella,Kenshi Yonezu,JP,J-Pop

Japan,1,2020-08-22,WAP,Cardi B & Megan Thee Stallion,US,

Japan,2,2020-08-22,Be Kind,Marshmello & Halsey,US,Dance

Japan,3,2020-08-22,Come & Go,Juice WRLD & Marshmello,US,

Japan,4,2020-08-22,Kanzai Boya,Kinki Kids,JP,

Japan,5,2020-08-22,Laxed (Siren Beat),Jawsh 685,NZ,Reggae

Japan,6,2020-08-22,Ur So F**kInG cOoL,Tones And I,AU,Alternative

Japan,7,2020-08-22,Savage (Remix),Megan Thee Stallion & Beyonce,US,

Japan,8,2020-08-22,Nobody's Love,Maroon 5,US,Pop

Japan,9,2020-08-22,Blinding Lights,Weeknd,CA,

Japan,10,2020-08-22,Good Guy,SF9,KR,

Japan,11,2020-08-22,Fanfare,Twice,KR,

Japan,12,2020-08-22,Rockstar,DaBaby & Roddy Ricch,US,

Japan,13,2020-08-22,Stuck With U,Ariana Grande & Justin Bieber,US,Pop

Japan,14,2020-08-22,Naked Heart,Aimyon,JP,J-Pop

Japan,15,2020-08-22,Swingin',Love Psychedelico,JP,

Japan,16,2020-08-22,Everyday,Mahina,JP,

Japan,17,2020-08-22,Last Mermaid...,Hey! Say! Jump,JP,

Japan,18,2020-08-22,Stand Up,Bullet Train,,

Japan,19,2020-08-22,Campanella,Kenshi Yonezu,JP,J-Pop

Japan,20,2020-08-22,Heartless,"Diplo, Thomas Wesley & Morgan Wallen",US,

