,Country_1,Country_2,Song,Difference_in_Days
0,UK,UK,!!! - Hello Is This Thing On?,0
1,USA,USA,'N Sync & Gloria Estefan - Music Of My Heart,0
2,USA,Australia,*NSync - Pop,-23
3,USA,Brazil,*NSync - Pop,-63
4,USA,Canada,*NSync - Pop,-5
5,USA,Greece,*NSync - Pop,-30
6,USA,Japan,*NSync - Pop,-42
7,USA,Netherlands,*NSync - Pop,-16
8,USA,New Zealand,*NSync - Pop,-29
9,USA,Norway,*NSync - Pop,-16
10,USA,Spain,*NSync - Pop,-9
11,USA,Sweden,*NSync - Pop,-19
12,USA,Switzerland,*NSync - Pop,-22
13,USA,USA,*NSync - Pop,0
14,USA,USA,"10,000 Maniacs - More Than This",0
15,UK,Spain,100 Percent - Just Can't Wait,-62
16,UK,UK,100 Percent - Just Can't Wait,0
17,USA,USA,112 & Mase - Love Me,0
18,USA,USA,112 - Cupid,0
19,USA,Australia,112 - Dance With Me,-142
20,USA,Belgium,112 - Dance With Me,-210
21,USA,USA,112 - Dance With Me,0
22,USA,USA,112 - It's Over Now,0
23,USA,Australia,112 - Peaches & Cream,-338
24,USA,USA,112 - Peaches & Cream,0
25,UK,UK,1975 - About You,0
26,UK,Ireland,1975 - Chocolate,-53
27,UK,UK,1975 - Chocolate,0
28,UK,UK,1975 - Give Yourself A Try,0
29,UK,UK,1975 - I'm In Love With You,0
30,UK,Ireland,1975 - If You're Too Shy (Let Me Know),0
31,UK,Taiwan,1975 - If You're Too Shy (Let Me Know),-57
32,UK,UK,1975 - If You're Too Shy (Let Me Know),0
33,UK,UK,1975 - Love It If We Made It,0
34,UK,Australia,1975 - Love Me,1
35,UK,UK,1975 - Love Me,0
36,UK,UK,1975 - Me & You Together Song,0
37,UK,UK,1975 - Oh Caroline,0
38,UK,UK,1975 - Sex,0
39,UK,UK,1975 - TOOTIMETOOTIMETOOTIME,0
40,UK,UK,1975 - The City,0
41,UK,Taiwan,1975 - The Sound,-63
42,UK,UK,1975 - The Sound,0
43,USA,USA,2 Chainz & Drake - No Lie,0
44,USA,Australia,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-2
45,USA,Austria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),8
46,USA,Belgium,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-20
47,USA,Bulgaria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),6
48,USA,Canada,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),3
49,USA,Denmark,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),8
50,USA,France,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),13
51,USA,Germany,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),7
52,USA,Italy,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),13
53,USA,New Zealand,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),5
54,USA,Norway,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-4
55,USA,Sweden,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-41
56,USA,Switzerland,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),6
57,USA,Taiwan,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),0
58,USA,UK,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),21
59,USA,USA,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),0
60,UK,Australia,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-23
61,UK,Austria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-13
62,UK,Belgium,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-41
63,UK,Bulgaria,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-15
64,UK,Canada,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-18
65,UK,Denmark,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-13
66,UK,France,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-8
67,UK,Germany,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-14
68,UK,Italy,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-8
69,UK,New Zealand,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-16
70,UK,Norway,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-25
71,UK,Sweden,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-62
72,UK,Switzerland,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-15
73,UK,Taiwan,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-21
74,UK,UK,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),0
75,UK,USA,2 Chainz & Wiz Khalifa - We Own It (Fast & Furious),-21
76,USA,USA,2 Chainz - I'm Different,0
77,USA,USA,2 Pac Feat. Eric Williams - Do For Love,0
78,USA,USA,2 Pistols - She Got It,0
79,UK,UK,2 Play - Careless Whisper,0
80,UK,UK,2 Play - It Can't Be Right,0
81,UK,UK,2 Play - So Confused,0
82,USA,USA,21 Savage & Metro Boomin - Glock In My Lap,0
83,USA,USA,21 Savage & Metro Boomin - Many Men,0
84,USA,USA,21 Savage & Metro Boomin - No Heart,0
85,USA,Canada,21 Savage & Metro Boomin - Runnin,7
86,USA,UK,21 Savage & Metro Boomin - Runnin,14
87,USA,USA,21 Savage & Metro Boomin - Runnin,0
88,UK,Canada,21 Savage & Metro Boomin - Runnin,-7
89,UK,UK,21 Savage & Metro Boomin - Runnin,0
90,UK,USA,21 Savage & Metro Boomin - Runnin,-14
91,USA,USA,21 Savage & Metro Boomin - Slidin,0
92,USA,UK,21 Savage - A Lot,0
93,USA,USA,21 Savage - A Lot,0
94,UK,UK,21 Savage - A Lot,0
95,UK,USA,21 Savage - A Lot,0
96,USA,Canada,21 Savage - Bank Account,91
97,USA,UK,21 Savage - Bank Account,35
98,USA,USA,21 Savage - Bank Account,0
99,UK,Canada,21 Savage - Bank Account,56
100,UK,UK,21 Savage - Bank Account,0
101,UK,USA,21 Savage - Bank Account,-35
102,USA,USA,21 Savage - X,0
103,USA,USA,"21 Savage, Boomin & Drake - Mr. Right Now",0
104,UK,Canada,"21 Savage, Metro Boomin & Drake - Mr Right Now",28
105,UK,UK,"21 Savage, Metro Boomin & Drake - Mr Right Now",0
106,USA,USA,"21 Savage, Metro Boomin & Young Thug - Rich N*gga Sh*t",0
107,USA,Canada,"21 Savage, Offset & Metro Boomin, Travis Scott - Ghostface Killers",0
108,USA,USA,"21 Savage, Offset & Metro Boomin, Travis Scott - Ghostface Killers",0
109,UK,Ireland,220 Kid & Gracey - Don't Need Love,-70
110,UK,UK,220 Kid & Gracey - Don't Need Love,0
111,UK,UK,24KGOLDN - City Of Angels,0
112,USA,Australia,24kGoldn & Iann Dior - Mood,19
113,USA,Austria,24kGoldn & Iann Dior - Mood,43
114,USA,Belgium,24kGoldn & Iann Dior - Mood,35
115,USA,Bulgaria,24kGoldn & Iann Dior - Mood,-43
116,USA,Canada,24kGoldn & Iann Dior - Mood,28
117,USA,China,24kGoldn & Iann Dior - Mood,14
118,USA,Denmark,24kGoldn & Iann Dior - Mood,43
119,USA,Finland,24kGoldn & Iann Dior - Mood,54
120,USA,France,24kGoldn & Iann Dior - Mood,-21
121,USA,Germany,24kGoldn & Iann Dior - Mood,35
122,USA,Greece,24kGoldn & Iann Dior - Mood,-114
123,USA,Ireland,24kGoldn & Iann Dior - Mood,35
124,USA,Italy,24kGoldn & Iann Dior - Mood,-19
125,USA,Japan,24kGoldn & Iann Dior - Mood,14
126,USA,Netherlands,24kGoldn & Iann Dior - Mood,42
127,USA,New Zealand,24kGoldn & Iann Dior - Mood,19
128,USA,Norway,24kGoldn & Iann Dior - Mood,60
129,USA,Portugal,24kGoldn & Iann Dior - Mood,6
130,USA,Spain,24kGoldn & Iann Dior - Mood,-14
131,USA,Sweden,24kGoldn & Iann Dior - Mood,54
132,USA,Switzerland,24kGoldn & Iann Dior - Mood,27
133,USA,UK,24kGoldn & Iann Dior - Mood,28
134,USA,USA,24kGoldn & Iann Dior - Mood,0
135,UK,Australia,24kGoldn & Iann Dior - Mood,-9
136,UK,Austria,24kGoldn & Iann Dior - Mood,15
137,UK,Belgium,24kGoldn & Iann Dior - Mood,7
138,UK,Bulgaria,24kGoldn & Iann Dior - Mood,-71
139,UK,Canada,24kGoldn & Iann Dior - Mood,0
140,UK,China,24kGoldn & Iann Dior - Mood,-14
141,UK,Denmark,24kGoldn & Iann Dior - Mood,15
142,UK,Finland,24kGoldn & Iann Dior - Mood,26
143,UK,France,24kGoldn & Iann Dior - Mood,-49
144,UK,Germany,24kGoldn & Iann Dior - Mood,7
145,UK,Greece,24kGoldn & Iann Dior - Mood,-142
146,UK,Ireland,24kGoldn & Iann Dior - Mood,7
147,UK,Italy,24kGoldn & Iann Dior - Mood,-47
148,UK,Japan,24kGoldn & Iann Dior - Mood,-14
149,UK,Netherlands,24kGoldn & Iann Dior - Mood,14
150,UK,New Zealand,24kGoldn & Iann Dior - Mood,-9
151,UK,Norway,24kGoldn & Iann Dior - Mood,32
152,UK,Portugal,24kGoldn & Iann Dior - Mood,-22
153,UK,Spain,24kGoldn & Iann Dior - Mood,-42
154,UK,Sweden,24kGoldn & Iann Dior - Mood,26
