Brazil,USA,Australia,Greece,New Zealand,Bulgaria,Portugal,Switzerland,Spain,Canada
"[0.04704301898621804, 0.03345476801893331]",,"[0.04433685742877017, 0.020618556701030927]","[0.06080142388729971, 0.03345476801893331]","[0.052379905123580116, 0.02840090208415947]","[0.05418153549616486, 0.03497368004609154]","[0.06354225735512997, 0.041237113402061855]","[0.048865096638974426, 0.020618556701030927]","[0.050218298651771576, 0.017443700954918324]","[0.0552107242939737, 0.012836211317902385]"
"[0.031039162494779532, 0.009551086192262576]","[0.03977620423075772, 0.007782345383128542]",,"[0.03621928093579681, 0.0007475095848499971]","[0.03642575468320768, 0.001144664252570315]","[0.03653413081025286, 0.020618556701030927]","[0.03821188524935228, 0.005053865934773843]","[0.03192882572361231, 0.0004903728055712779]","[0.03045113084251535, 0.0]","[0.03700515284157107, 0.00015992936957979315]"
"[0.04396361536311728, 0.005053865934773843]","[0.059057636705942364, 0.022670929197547054]","[0.03658738520592238, 0.0]",,"[0.043285332227927305, 0.0010318126412936204]","[0.06111366171784568, 0.05004899971415817]","[0.061993834069894845, 0.02840090208415947]","[0.050115227710844285, 0.020618556701030927]","[0.04983116795145027, 0.012836211317902385]","[0.05123259779279661, 0.0008901267149647678]"
"[0.03992216911974788, 0.021034535029150106]","[0.04584680706311235, 0.020618556701030927]","[0.037368920700565675, 0.0010200171386993996]","[0.04015842242595905, 0.013974429053366773]",,"[0.03657721507906357, 0.012836211317902385]","[0.04795709526407382, 0.021201673634478682]","[0.037369242865846156, 0.007782345383128542]","[0.04038545965606804, 0.005039724336564964]","[0.046364255571264106, 0.012836211317902385]"
"[0.03409525766204109, 0.008838586954280213]","[0.03787915349361828, 0.013059335300488589]","[0.03406937193268583, 0.0008265069542160704]","[0.050405807485168166, 0.02235229156141176]","[0.0332239758738641, 0.0006648391538249741]",,"[0.04628545120661593, 0.022027734775892913]","[0.038889242212868054, 0.007782345383128542]","[0.03823730825339926, 0.007782345383128542]","[0.04101428262939141, 0.005053865934773843]"
"[0.04771085006781947, 0.02095469084967564]","[0.06004267504858491, 0.041237113402061855]","[0.0414849415218585, 0.0018830446471493388]","[0.06290966340854681, 0.04097080877357827]","[0.04921994377098906, 0.020618556701030927]","[0.05127856513150496, 0.03345476801893331]",,"[0.050695906123455155, 0.020618556701030927]","[0.052897697954005556, 0.020618556701030927]","[0.056683079609296576, 0.02138712577562922]"
"[0.03235605009022494, 0.000986195313165033]","[0.042387922345242586, 0.0011510300138729617]","[0.0316564207682464, 0.0]","[0.04343164839959517, 0.012836211317902385]","[0.035561555244203645, 0.0007650252390271927]","[0.04446431643514201, 0.020618556701030927]","[0.04885082343645689, 0.020618556701030927]",,"[0.041772906305738995, 0.005620596691901227]","[0.0375508610592563, 0.0002381926135644915]"
"[0.04463844823290306, 0.020618556701030927]","[0.047857412833676415, 0.007782345383128542]","[0.035007499572791034, 0.0]","[0.04657497883337566, 0.005482284374362932]","[0.042897635871087865, 0.0004798250987454824]","[0.045111292035499836, 0.020618556701030927]","[0.05220817728992175, 0.020618556701030927]","[0.0432248943416978, 0.0013523952055385674]",,"[0.04610333360157657, 0.0008453016055140945]"
"[0.0516960203174127, 0.02840090208415947]","[0.05704617577956183, 0.006960732160952258]","[0.04655917864708466, 0.0009756476063390715]","[0.0599895732412233, 0.02840090208415947]","[0.05513086406698103, 0.020618556701030927]","[0.05465549443911158, 0.02796952084739228]","[0.06856440223426033, 0.04760152124993569]","[0.049070014147913454, 0.00828279052429005]","[0.055399007977148806, 0.012836211317902385]",
"[0.04214452438504788, 0.020279810056416374]","[0.04786710427306362, 0.0010942742179957047]","[0.03256845311345079, 0.0]","[0.04721529995007124, 0.0005042441565475608]","[0.0381301957823299, 0.0003323780668392363]","[0.04370796774530291, 0.008126252275572125]","[0.04856769759509667, 0.009328041821926373]","[0.040499781403932435, 0.0003419414950274112]","[0.03972250455927544, 0.0]","[0.041720760507188065, 0.0]"
"[0.03190596376472207, 0.016727384009466655]","[0.043633200872975224, 0.00041414179728968954]","[0.03223150032100704, 0.0]","[0.021109966049218443, 0.0]","[0.03425848073676254, 0.0003305415360096822]","[0.02289594681503086, 0.0]","[0.037235730901331095, 0.020618556701030927]","[0.0305472712299631, 0.0]","[0.04193044358596227, 0.0]","[0.03766355061826789, 0.000657570664488032]"
"[0.03143218596950731, 0.0]","[0.03545584913910843, 0.001183728256443699]","[0.028607819959637352, 0.0]","[0.039159276844507714, 0.001996527397450445]","[0.03243014508363104, 0.0]","[0.03651924631133242, 0.012836211317902383]","[0.04232315711943629, 0.011590979770551024]","[0.03432473987842251, 0.00015992936957979315]","[0.03478602016745166, 0.0]","[0.03994588729261443, 0.0003251122411455841]"
