Canada,UK,India,Netherlands,Germany,Ireland,Belgium,Norway,Austria,Finland,Sweden,Chile,France,Italy,Taiwan,Denmark,China,Japan
"[0.0552107242939737, 0.012836211317902385]",,"[0.05124760283528373, 0.02840090208415947]","[0.047362332584741144, 0.02840090208415947]","[0.05862316445936772, 0.028998401758596755]","[0.03723267279565508, 0.007782345383128542]","[0.05219754278761478, 0.02840090208415947]","[0.043509498536895605, 0.020618556701030927]","[0.05388956482840836, 0.03345476801893331]","[0.03732665327276827, 0.002100707721957527]","[0.04990508734956496, 0.021283395854855905]","[0.05455457368370439, 0.029832517049102385]","[0.04838981789050893, 0.020618556701030927]","[0.051026258392087534, 0.02840090208415947]","[0.02671329161043783, 0.0]","[0.03992639719108621, 0.012836211317902385]","[0.04719827648527074, 0.018224776047885805]","[0.032339363611163664, 0.0]"
"[0.03700515284157107, 0.00015992936957979315]","[0.027234578815679766, 0.0]",,"[0.03307602616006078, 0.0011510300138729617]","[0.036621738677487865, 0.0013523952055385674]","[0.025205905970655817, 0.0]","[0.035950047770962265, 0.008811886312096317]","[0.027879816285278067, 0.0003251122411455809]","[0.0350616299166891, 0.0020062124518644524]","[0.021908934636985608, 0.0]","[0.030953314323459942, 0.0004903728055712779]","[0.0336325672141432, 0.0030624540230161264]","[0.03294196062816671, 0.00065030217515109]","[0.030677395499263065, 0.00016344444075440495]","[0.01781062444154332, 0.0]","[0.02728704864693306, 0.0]","[0.026818800477259958, 0.0]","[0.01326015375029898, 0.0]"
"[0.05123259779279661, 0.0008901267149647678]","[0.043892977847257514, 0.0]","[0.022496351788606705, 0.0]",,"[0.06443600269305418, 0.03678576552823334]","[0.03429227906986282, 0.0]","[0.04911611570305931, 0.020618556701030927]","[0.03894809720161498, 0.0011847698661378602]","[0.047051041112056616, 0.008130275034367408]","[0.03730340169335115, 0.0]","[0.04226576797920783, 0.0009873150552540027]","[0.05443413016435283, 0.020618556701030927]","[0.04923068774693693, 0.007782345383128542]","[0.042821970260926455, 0.0003251122411455809]","[0.02421284314024683, 0.0]","[0.039171253713339016, 0.0]","[0.02644778766933878, 0.0]","[0.019784532476577788, 0.0]"
"[0.046364255571264106, 0.012836211317902385]","[0.031603207664723465, 0.0003251122411455809]","[0.041675140882537015, 0.020618556701030927]","[0.03851371459390718, 0.020618556701030927]",,"[0.029946749840845478, 0.00031815729835436705]","[0.038535033543625655, 0.020618556701030927]","[0.03487032330164641, 0.007782345383128542]","[0.041125716446671005, 0.020618556701030927]","[0.02960298859286783, 0.0]","[0.04052548315557884, 0.020618556701030927]","[0.043280105610162795, 0.020618556701030927]","[0.03777192146010257, 0.003193150706320316]","[0.037892474098835345, 0.010825184671162273]","[0.01982144980403176, 0.0]","[0.0323644122634865, 0.0006574903079846542]","[0.03299416847994705, 0.0003439528744250488]","[0.017548792050539032, 0.0]"
"[0.04101428262939141, 0.005053865934773843]","[0.03216864664799127, 0.0]","[0.017490623344230398, 0.0]","[0.03603719814579101, 0.018606394198127887]","[0.03932141960841693, 0.007782345383128542]",,"[0.03811124632473432, 0.020618556701030927]","[0.030949471306311524, 0.0007513086002359645]","[0.03573467645119915, 0.0011071490150403353]","[0.028569349237833892, 0.0003215971699708177]","[0.03340162460974812, 0.0013453960568347715]","[0.04397416551615771, 0.020618556701030927]","[0.03839769324059987, 0.0017213768467582444]","[0.03561471342470635, 0.020618556701030924]","[0.0182565069302559, 0.0]","[0.030311213854192772, 0.0004930976565824616]","[0.024977969134226823, 0.0]","[0.031106156904600904, 0.0005188891026186482]"
"[0.056683079609296576, 0.02138712577562922]","[0.04069093705599411, 0.0015214118517700426]","[0.04000936879654475, 0.009243267548863494]","[0.047836658775213356, 0.020618556701030927]","[0.05327289640391505, 0.022511610379479408]","[0.03641738201441507, 0.0005013947130705311]",,"[0.041455792763118574, 0.012921691043592325]","[0.04769382353533512, 0.020702115452237633]","[0.03831904185364819, 0.0007501833238040761]","[0.04854308752203623, 0.020618556701030927]","[0.0587637891377661, 0.03345476801893331]","[0.05153666978038443, 0.020618556701030927]","[0.05095974068216306, 0.020618556701030927]","[0.026461891133282317, 0.0]","[0.04264427355419306, 0.007782345383128542]","[0.04556986196131264, 0.007782345383128542]","[0.020847893120236126, 0.0]"
"[0.0375508610592563, 0.0002381926135644915]","[0.03373840657602527, 0.0]","[0.03462488445162145, 0.0003198772341626377]","[0.03659040174431294, 0.0006761102462558588]","[0.03285865959800918, 0.0]","[0.02755019637044954, 0.0]","[0.04095515240469651, 0.0015964711000719272]",,"[0.03251114916034718, 0.0]","[0.029690535128799163, 0.0]","[0.03650501361072899, 0.0004903728055712779]","[0.040492633620769915, 0.020618556701030927]","[0.03463205271511045, 0.0003215971699708177]","[0.03862586636190848, 0.001170413846659586]","[0.01640068248390536, 0.0]","[0.03324306575290739, 0.0]","[0.02986479907651237, 0.0]","[0.008303273455499917, 0.0]"
"[0.04610333360157657, 0.0008453016055140945]","[0.035686785757756044, 0.0]","[0.05168018837753696, 0.033886149255700486]","[0.03932616676526766, 0.00031815729835436705]","[0.05395617227333153, 0.020618556701030927]","[0.033497781837602214, 0.0]","[0.042806131600819315, 0.013733290919602575]","[0.03888463533448571, 0.000652059710738441]",,"[0.03433596087875838, 0.0]","[0.04007808479118942, 0.00047982509874548235]","[0.052362189869388606, 0.020618556701030927]","[0.04709137055395717, 0.0010087460462685528]","[0.04171066912248599, 0.0006432695394998917]","[0.021769280407200876, 0.0]","[0.03740539900483986, 0.00031815729835436705]","[0.04528627407483677, 0.0009917062669145458]","[0.013850917154820376, 0.0]"
"[0.0, 0.0]","[0.04431396786333823, 0.0003215971699708177]","[0.052440600729062044, 0.02087000671162194]","[0.05573408280325705, 0.020962463593474513]","[0.05776993773290871, 0.020618556701030927]","[0.037289626861688574, 0.0]","[0.05199367802860852, 0.023789949504382457]","[0.04140019370586109, 0.0013223294618097373]","[0.05614401983477391, 0.02639369496181672]",,"[0.05089626181587593, 0.015761205631484324]","[0.06244500585220946, 0.04702036249161182]","[0.057316731744637306, 0.020618556701030927]","[0.048828422060395484, 0.018523855893986092]","[0.02441001206268259, 0.0]","[0.03907580145003469, 0.0013223294618097373]","[0.05012631289062401, 0.0017199944296770121]","[0.025565102355152042, 0.0]"
"[0.041720760507188065, 0.0]","[0.0, 0.0]","[0.03576235082818191, 0.0003287050051802653]","[0.036386855132736276, 0.00015992936957979315]","[0.04712737176083066, 0.001488571145014021]","[0.028895385660574886, 0.0]","[0.04597886603819675, 0.0013565944457728674]","[0.03450365787306897, 0.00031815729835436705]","[0.04197279200559131, 0.0006574903079846542]","[0.02631397235319841, 0.0]",,"[0.04026969555226698, 0.0009974664055958464]","[0.03866325552676328, 0.00016166780039104323]","[0.03560182806317759, 0.0003323780668392363]","[0.017597871413728473, 0.0]","[0.03075324538519156, 0.0]","[0.03615163931118843, 0.0]","[0.016887250697660686, 0.0]"
