,Brazil,USA,Australia,Greece,New Zealand
USA,"[0.04704301898621804, 0.03345476801893331]",,"[0.04433685742877017, 0.020618556701030927]","[0.06080142388729971, 0.03345476801893331]","[0.052379905123580116, 0.02840090208415947]"
Australia,"[0.031039162494779532, 0.009551086192262576]","[0.03977620423075772, 0.007782345383128542]",,"[0.03621928093579681, 0.0007475095848499971]","[0.03642575468320768, 0.001144664252570315]"
Greece,"[0.04396361536311728, 0.005053865934773843]","[0.059057636705942364, 0.022670929197547054]","[0.03658738520592238, 0.0]",,"[0.043285332227927305, 0.0010318126412936204]"
New Zealand,"[0.03992216911974788, 0.021034535029150106]","[0.04584680706311235, 0.020618556701030927]","[0.037368920700565675, 0.0010200171386993996]","[0.04015842242595905, 0.013974429053366773]",
Bulgaria,"[0.03409525766204109, 0.008838586954280213]","[0.03787915349361828, 0.013059335300488589]","[0.03406937193268583, 0.0008265069542160704]","[0.050405807485168166, 0.02235229156141176]","[0.0332239758738641, 0.0006648391538249741]"
Portugal,"[0.04771085006781947, 0.02095469084967564]","[0.06004267504858491, 0.041237113402061855]","[0.0414849415218585, 0.0018830446471493388]","[0.06290966340854681, 0.04097080877357827]","[0.04921994377098906, 0.020618556701030927]"
Switzerland,"[0.03235605009022494, 0.000986195313165033]","[0.042387922345242586, 0.0011510300138729617]","[0.0316564207682464, 0.0]","[0.04343164839959517, 0.012836211317902385]","[0.035561555244203645, 0.0007650252390271927]"
Spain,"[0.04463844823290306, 0.020618556701030927]","[0.047857412833676415, 0.007782345383128542]","[0.035007499572791034, 0.0]","[0.04657497883337566, 0.005482284374362932]","[0.042897635871087865, 0.0004798250987454824]"
Canada,"[0.0516960203174127, 0.02840090208415947]","[0.05704617577956183, 0.006960732160952258]","[0.04655917864708466, 0.0009756476063390715]","[0.0599895732412233, 0.02840090208415947]","[0.05513086406698103, 0.020618556701030927]"
UK,"[0.04214452438504788, 0.020279810056416374]","[0.04786710427306362, 0.0010942742179957047]","[0.03256845311345079, 0.0]","[0.04721529995007124, 0.0005042441565475608]","[0.0381301957823299, 0.0003323780668392363]"
India,"[0.03190596376472207, 0.016727384009466655]","[0.043633200872975224, 0.00041414179728968954]","[0.03223150032100704, 0.0]","[0.021109966049218443, 0.0]","[0.03425848073676254, 0.0003305415360096822]"
Netherlands,"[0.03143218596950731, 0.0]","[0.03545584913910843, 0.001183728256443699]","[0.028607819959637352, 0.0]","[0.039159276844507714, 0.001996527397450445]","[0.03243014508363104, 0.0]"
Germany,"[0.03347672222306214, 0.0019450054719979048]","[0.049734058117217324, 0.020618556701030927]","[0.03881598468379352, 0.0010202838156892447]","[0.05677749495488333, 0.03345476801893331]","[0.04176729808874798, 0.008458717834466018]"
Ireland,"[0.027790170665208627, 0.0]","[0.02904996099990056, 0.0]","[0.02191686653680517, 0.0]","[0.03192172861470728, 0.0]","[0.025432432171129383, 0.0]"
Belgium,"[0.030875587290624226, 0.0006503021751510901]","[0.03914154224739346, 0.001170413846659586]","[0.03244261618625845, 0.0003287050051802653]","[0.03891691568972299, 0.003419723891760036]","[0.034438781803686994, 0.00048504161072538993]"
Norway,"[0.03315945177660547, 0.0015133686390923049]","[0.03646714993352555, 0.0004798250987454824]","[0.026937097100459852, 0.0]","[0.0355793745623842, 0.0006574501591725781]","[0.032102847579459214, 0.00015992936957979315]"
Austria,"[0.033160225438918126, 0.008811886312096317]","[0.043616259589222155, 0.020618556701030927]","[0.0318260066042481, 0.0005100085693497687]","[0.043035177533798936, 0.020618556701030927]","[0.038959299675529725, 0.007782345383128542]"
Finland,"[0.02807802256854845, 0.0]","[0.030210407309696655, 0.0]","[0.019894845455170312, 0.0]","[0.030938317401627696, 0.0]","[0.02672677217527585, 0.0]"
Sweden,"[0.04395663862278274, 0.02094730185502334]","[0.04459351203140654, 0.005955469185406834]","[0.031814738215105026, 0.0]","[0.04105967306485023, 0.0013337682672573251]","[0.039009298305065054, 0.0011837282564436985]"
Chile,"[0.04156949872772626, 0.020618556701030927]","[0.04396756050180523, 0.020618556701030927]","[0.029383756161849732, 0.0]","[0.047885003174015256, 0.020618556701030927]","[0.04222489597490965, 0.0021672196302300736]"
France,"[0.03940724766999766, 0.007782345383128542]","[0.04772605884924767, 0.020618556701030927]","[0.03637445262612724, 0.0006648391538249741]","[0.051205524818899284, 0.020618556701030927]","[0.04266073933051544, 0.0065680617290163595]"
Italy,"[0.042657399586166524, 0.020618556701030927]","[0.04725687379805784, 0.020618556701030927]","[0.03386271246957145, 0.00036954288691134297]","[0.04171783219766888, 0.002469878983668495]","[0.043547255535487564, 0.008495226572731916]"
Taiwan,"[0.024621591986215288, 0.0]","[0.02346177404695781, 0.0]","[0.017522577137010397, 0.0]","[0.02334727610490173, 0.0]","[0.018323425581939903, 0.0]"
Denmark,"[0.03525823124265363, 0.0017509136037088526]","[0.03354329180778562, 0.0]","[0.027031675523554097, 0.0]","[0.03729853461113411, 0.00031815729835436705]","[0.031386799935364744, 0.0]"
China,"[0.0280555581513839, 0.0]","[0.03986881042273889, 0.0]","[0.02410416294971565, 0.0]","[0.020880735266536672, 0.0]","[0.03069352702459933, 0.0]"
Japan,"[0.007958666750659812, 0.0]","[0.025546993152540238, 0.0]","[0.010799981572315378, 0.0]","[0.01519429701698389, 0.0]","[0.016672751679932023, 0.0]"
Brazil,,"[0.028961621465958085, 0.007782345383128542]","[0.022622041133834835, 0.0006574903079846541]","[0.033443295226086474, 0.005053865934773843]","[0.02701437687745412, 0.012836211317902385]"
