Country,Position,Date,Song title,Song author
Japan,1,2020-10-17,Dynamite,BTS
Japan,2,2020-10-17,Nobody's Love,Maroon 5
Japan,3,2020-10-17,WAP,Cardi B & Megan Thee Stallion
Japan,4,2020-10-17,Savage (Remix),Megan Thee Stallion & Beyonce
Japan,5,2020-10-17,It's My Life,V6
Japan,6,2020-10-17,Come & Go,Juice WRLD & Marshmello
Japan,7,2020-10-17,Laxed (Siren Beat),Jawsh 685
Japan,8,2020-10-17,Worry About Me,Ellie Goulding & Blackbear
Japan,8,2020-10-17,Whenever You Call,Arashi
Japan,10,2020-10-17,Holy,Justin Bieber & Chance The Rapper
Japan,11,2020-10-17,OK Not To Be OK,Marshmello & Demi Lovato
Japan,12,2020-10-17,Don't Stop,Megan Thee Stallion & Young Thug
Japan,13,2020-10-17,Over Now,Calvin Harris & Weeknd
Japan,14,2020-10-17,Ice Cream,Blackpink & Selena Gomez
Japan,15,2020-10-17,Blinding Lights,Weeknd
Japan,16,2020-10-17,Rockstar,DaBaby & Roddy Ricch
Japan,17,2020-10-17,Lemonade,"Internet Money, Gunna & Toliver"
Japan,18,2020-10-17,Mood,24kGoldn & Iann Dior
Japan,19,2020-10-17,Kanzai Boya,Kinki Kids
Japan,20,2020-10-17,Good Guy,SF9
Netherlands,1,2023-09-23,Prada,"Casso, Raye & D-Block Europe"
Netherlands,2,2023-09-23,Paint The Town Red,Doja Cat
Netherlands,3,2023-09-23,Strangers,Kenya Grace
Netherlands,4,2023-09-23,(It Goes Like) Nanana,Peggy Gou
Netherlands,5,2023-09-23,Domino,"Katnuf, Ronnie Flex & Jonna Fraser"
Netherlands,6,2023-09-23,7K Op Je Feestje,Noano & Antybanty
Netherlands,7,2023-09-23,Greedy,Tate McRae
Netherlands,8,2023-09-23,Not Fair,"Niklas Dee, Old Jim & Enny-Mae"
Netherlands,9,2023-09-23,Dance The Night,Dua Lipa
Netherlands,10,2023-09-23,Vampire,Olivia Rodrigo
Netherlands,11,2023-09-23,Vas-y (Ga Maar),"Suzan, Freek & Claude"
Netherlands,12,2023-09-23,Engelbewaarder,Marco Schuitmaker
Netherlands,13,2023-09-23,What Was I Made For?,Billie Eilish
Netherlands,14,2023-09-23,Desire,Calvin Harris & Sam Smith
Netherlands,15,2023-09-23,People,Libianca
Netherlands,16,2023-09-23,How You Samba,"Kris Kross Amsterdam, Sofia Reyes & Tinie Tempah"
Netherlands,17,2023-09-23,Sprinter,Dave & Central Cee
Netherlands,18,2023-09-23,Unhealthy,Anne-Marie & Shania Twain
